RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Exited,Balance,EstimatedSalary
42,15738148,465,Minsk,Female,51,8,1,0,0,1,6126.116,4028.8366666666666
43,15687946,556,Minsk,Female,61,2,1,1,1,0,5870.967500000001,2092.307333333333
44,15755196,834,Minsk,Female,49,2,1,0,0,1,6569.728,4319.239111111111
45,15684171,660,Grodno,Female,61,5,1,1,1,0,7796.5554999999995,3518.6308888888893
46,15754849,776,Orsha,Female,32,4,2,1,1,0,5471.056500000001,2811.4991111111112
47,15602280,829,Orsha,Female,27,9,1,1,1,1,5602.2835,2660.1824444444446
48,15771573,637,Orsha,Female,39,9,1,1,1,1,6892.19,2613.84
49,15766205,550,Orsha,Male,38,2,1,0,1,0,5169.569,2019.5140000000001
50,15771873,776,Orsha,Female,37,2,2,1,0,0,5188.461,4313.313777777777
51,15616550,698,Orsha,Male,44,10,2,1,0,0,5818.1685,4401.314666666667
52,15768193,585,Orsha,Male,36,5,2,0,0,0,7302.5485,1920.546
53,15683553,788,Minsk,Female,33,5,2,0,0,0,0.0,2599.5153333333333
54,15702298,655,Orsha,Male,41,8,1,0,0,1,6278.0985,3645.3542222222222
55,15569590,601,Orsha,Male,42,1,1,1,0,1,4924.786,889.2168888888889
56,15760861,619,Minsk,Male,43,1,1,1,1,0,6260.596,2520.233111111111
57,15630053,656,Minsk,Male,45,5,1,1,0,0,6393.219999999999,1935.723777777778
58,15647091,725,Orsha,Male,19,0,1,0,0,0,3794.41,1013.6388888888889
59,15623944,511,Grodno,Female,66,4,1,1,0,1,0.0,36.513555555555556
60,15804771,614,Minsk,Male,51,4,1,1,1,0,2034.2959999999998,1039.4506666666666
61,15651280,742,Orsha,Male,35,5,1,0,0,0,6842.85,1877.9904444444446
62,15773469,687,Orsha,Female,27,9,2,0,0,0,7616.444,2810.996
63,15702014,555,Grodno,Male,33,1,2,0,0,0,2804.2345,3973.291777777778
64,15751208,684,Grodno,Male,56,8,1,1,1,0,3935.358,2208.8524444444442
65,15592461,603,Orsha,Male,26,4,1,1,1,0,5458.318499999999,2063.1259999999997
66,15789484,751,Orsha,Female,36,6,2,1,1,0,8491.573,616.8524444444445
67,15696061,581,Orsha,Female,34,1,1,1,0,0,5081.652,2454.0335555555553
68,15641582,735,Orsha,Male,43,10,2,1,1,0,6159.0005,4370.517333333333
69,15638424,661,Orsha,Female,35,5,2,0,1,0,7536.2765,2525.707777777778
70,15755648,675,Minsk,Female,21,8,1,1,0,0,4918.663,404.5111111111111
71,15703793,738,Orsha,Male,58,2,4,1,0,1,6687.272,630.5302222222223
72,15620344,813,Minsk,Male,29,6,1,1,0,0,0.0,754.5304444444445
73,15812518,657,Grodno,Female,37,0,1,0,1,0,8180.3589999999995,982.3011111111111
74,15779052,604,Orsha,Female,25,5,2,1,1,0,7889.0419999999995,1298.3735555555554
75,15770811,519,Minsk,Male,36,9,2,0,1,0,0.0,3234.72
76,15780961,735,Minsk,Female,21,1,2,1,0,0,8935.9095,497.5111111111111
77,15614049,664,Minsk,Male,55,8,2,1,1,0,0.0,3092.4808888888892
78,15662085,678,Minsk,Female,32,9,1,1,1,0,0.0,3293.569777777778
79,15575185,757,Grodno,Male,33,5,1,0,1,0,3862.661,4316.436222222223
80,15803136,416,Orsha,Female,41,10,2,1,0,0,6109.483,2184.4802222222224
81,15706021,665,Minsk,Female,34,1,2,0,0,0,4832.277,3809.1924444444444
82,15663706,777,Minsk,Female,32,2,1,1,0,1,0.0,3032.4042222222224
83,15641732,543,Minsk,Female,36,3,2,0,0,0,0.0,578.2131111111111
84,15701164,506,Minsk,Female,34,4,1,1,1,0,4515.380999999999,3538.5620000000004
85,15738751,493,Minsk,Female,46,4,2,1,0,0,0.0,42.39244444444444
86,15805254,652,Grodno,Female,75,10,2,1,1,0,0.0,2548.35
87,15762418,750,Grodno,Male,22,3,1,1,0,1,6084.091,2858.7411111111114
88,15625759,729,Minsk,Male,30,9,2,1,0,0,0.0,3374.8744444444446
89,15622897,646,Minsk,Female,46,4,3,1,0,1,0.0,2072.253777777778
90,15767954,635,Orsha,Female,28,3,2,1,1,0,4081.1835,3484.2524444444443
91,15757535,647,Grodno,Female,44,5,3,1,1,1,0.0,3871.2271111111113
92,15731511,808,Minsk,Male,45,7,2,1,0,0,5931.3275,3269.610222222222
93,15809248,524,Minsk,Female,36,10,2,1,0,0,0.0,2435.8793333333333
94,15640635,769,Minsk,Male,29,8,2,1,1,0,0.0,3828.680222222222
95,15676966,730,Grodno,Male,42,4,2,0,1,0,0.0,1910.7215555555556
96,15699461,515,Grodno,Male,35,10,1,0,1,0,8813.6975,2695.061777777778
97,15738721,773,Grodno,Male,41,9,1,0,1,0,5141.372,1435.45
98,15693683,814,Orsha,Male,29,8,2,1,1,0,4854.32,4383.914
99,15604348,710,Grodno,Male,22,8,2,0,0,0,0.0,2214.3342222222223
100,15633059,413,Minsk,Male,34,9,2,0,0,0,0.0,145.204
101,15808582,665,Minsk,Female,40,6,1,1,1,0,0.0,3596.622888888889
102,15743192,623,Minsk,Female,44,6,2,0,0,0,0.0,3714.7206666666666
103,15580146,738,Minsk,Male,31,9,1,1,0,0,4133.7074999999995,932.6826666666667
104,15776605,528,Grodno,Male,36,7,2,1,0,0,0.0,1345.2568888888889
105,15804919,670,Grodno,Female,65,1,1,1,1,1,0.0,3947.904
106,15613854,622,Grodno,Female,46,4,2,1,1,1,5353.663500000001,688.5464444444444
107,15599195,582,Orsha,Male,32,1,1,1,1,0,4446.931,223.43400000000003
108,15812878,785,Orsha,Female,36,2,1,0,1,0,4990.342500000001,821.7004444444444
109,15602312,605,Grodno,Male,33,5,1,0,0,0,7504.639999999999,1596.9508888888888
110,15744689,479,Orsha,Male,35,9,1,1,0,1,4641.6945,2209.996888888889
111,15803526,685,Orsha,Male,30,3,1,0,1,0,4526.8405,1401.8417777777777
112,15665790,538,Orsha,Male,39,7,2,1,0,0,5402.755,605.1391111111111
113,15715951,562,Minsk,Male,42,2,1,0,0,0,5011.9175000000005,1928.8313333333333
114,15591100,675,Grodno,Male,36,9,1,0,1,0,5309.5275,510.98488888888886
115,15609618,721,Orsha,Male,28,9,2,0,1,1,7723.777,2251.132
116,15675522,628,Orsha,Female,30,9,2,1,1,0,6617.5645,1648.202888888889
117,15705512,668,Orsha,Female,37,6,1,1,0,0,8393.22,2569.739777777778
118,15698028,506,Minsk,Female,41,1,2,1,0,0,0.0,705.9177777777778
119,15661670,524,Orsha,Female,31,8,1,1,0,1,5390.931500000001,4438.342000000001
120,15600781,699,Orsha,Male,34,4,2,1,0,0,9258.6905,2685.2106666666664
121,15682472,828,Minsk,Male,34,8,2,0,0,0,6471.6669999999995,847.3726666666666
122,15580203,674,Grodno,Male,39,6,1,0,0,0,6009.671,2225.132222222222
123,15690673,656,Minsk,Female,39,6,2,1,0,0,0.0,3134.8862222222224
124,15760085,684,Orsha,Female,48,10,1,1,1,0,6319.221,4402.874666666667
125,15779659,625,Minsk,Female,28,3,1,0,0,0,0.0,4081.0313333333334
126,15627360,432,Minsk,Male,42,9,1,1,0,1,7630.172500000001,2450.338666666667
127,15671137,549,Minsk,Female,52,1,1,0,1,1,0.0,191.9122222222222
128,15782688,625,Orsha,Male,56,0,1,1,0,1,7425.361999999999,1040.535111111111
129,15575492,828,Minsk,Female,41,7,2,1,0,0,0.0,3808.417111111111
130,15591607,770,Minsk,Male,24,9,1,1,0,0,5091.3535,3716.807777777778
131,15740404,758,Minsk,Female,34,3,2,1,1,0,0.0,2760.5813333333335
132,15718369,795,Orsha,Female,33,9,1,1,1,0,6543.121499999999,2554.115777777778
133,15677871,687,Minsk,Male,38,9,1,1,1,0,6128.5435,791.3084444444444
134,15642004,686,Minsk,Male,25,1,2,0,1,0,0.0,365.76377777777776
135,15712543,789,Orsha,Male,39,7,2,1,1,0,6241.423000000001,2764.690666666667
136,15584518,589,Orsha,Female,50,5,2,1,1,0,7244.7525,776.4717777777779
137,15802381,461,Orsha,Female,34,5,1,0,1,0,3183.1965,3728.5395555555556
138,15610156,637,Minsk,Male,40,2,1,0,1,0,6673.155000000001,2070.340888888889
139,15594408,584,Grodno,Female,48,2,1,1,0,1,10657.310000000001,1670.25
140,15640905,579,Grodno,Female,35,1,2,0,1,1,6474.518,190.90733333333333
141,15698932,756,Orsha,Male,44,10,1,1,0,0,6872.6044999999995,4212.086666666666
142,15724944,663,Minsk,Male,34,7,2,1,1,0,0.0,4009.494222222222
143,15628145,682,Minsk,Female,43,5,1,1,1,0,6292.5965,4295.962888888888
144,15713483,793,Grodno,Male,52,2,1,1,0,1,0.0,3536.084888888889
145,15612350,691,Minsk,Female,31,5,1,1,0,1,2045.7775000000001,2804.752
146,15800703,485,Grodno,Female,21,5,1,1,1,0,5657.861,1203.1444444444444
147,15705707,635,Grodno,Female,29,8,2,1,0,0,6914.847,3135.0113333333334
148,15754105,650,Minsk,Male,37,5,1,0,0,0,5348.3589999999995,544.334
149,15703264,735,Minsk,Male,44,9,1,1,0,0,6034.0815,1663.0297777777778
150,15794413,416,Minsk,Male,32,0,2,0,1,0,0.0,19.530444444444445
151,15650237,754,Grodno,Female,32,7,2,1,0,0,0.0,1989.35
152,15759618,535,Minsk,Female,48,9,1,1,0,1,0.0,3330.950888888889
153,15811589,716,Grodno,Male,42,8,2,1,0,0,0.0,4017.7871111111112
154,15689044,539,Minsk,Male,37,2,1,1,0,0,6380.4794999999995,2192.1382222222223
155,15709368,614,Minsk,Female,43,6,2,1,1,0,0.0,2423.145111111111
156,15679145,706,Grodno,Male,57,7,1,1,0,1,0.0,398.69244444444445
157,15655007,758,Minsk,Female,33,7,2,0,0,0,0.0,1844.366
158,15623595,586,Grodno,Female,28,2,2,1,1,0,0.0,2045.9411111111112
159,15589975,646,Minsk,Female,73,6,1,0,1,0,4862.9625,2327.1035555555554
160,15804017,631,Orsha,Female,33,4,1,0,0,0,6162.335,2504.1682222222225
161,15692132,717,Grodno,Female,22,6,1,0,1,0,5053.0125,1882.2124444444444
162,15641122,684,Minsk,Male,30,2,2,1,0,0,0.0,1854.973777777778
163,15630910,800,Minsk,Female,49,7,1,0,0,0,5400.368,1047.2246666666667
164,15680772,721,Grodno,Female,36,2,2,1,1,0,0.0,2377.2844444444445
165,15658929,683,Grodno,Male,29,0,1,1,0,1,6685.1445,1235.1675555555555
166,15585388,660,Orsha,Male,31,9,2,1,1,0,6259.4875,3108.3206666666665
167,15724623,704,Orsha,Female,24,7,1,1,0,1,5651.711,3611.1884444444445
168,15588537,615,Grodno,Female,41,9,1,1,0,0,5450.6615,4366.665777777777
169,15574692,667,Grodno,Female,39,2,2,1,0,1,0.0,904.9164444444444
170,15611325,682,Orsha,Male,24,9,2,0,0,0,2896.4905,1180.7622222222224
171,15587562,484,Minsk,Female,29,4,1,1,0,0,6505.7195,3644.842
172,15613172,628,Orsha,Male,27,5,2,1,0,0,4791.324500000001,3466.599111111111
173,15651022,480,Orsha,Male,44,10,1,1,0,1,6480.4285,121.61555555555555
174,15586310,578,Minsk,Male,30,4,1,1,0,0,8473.1045,2493.046888888889
175,15625524,512,Minsk,Male,40,5,2,1,1,0,0.0,3254.6184444444443
176,15755209,484,Grodno,Female,35,7,1,1,1,0,6693.4105,606.3577777777778
177,15645248,510,Minsk,Female,30,0,2,1,1,0,0.0,2901.188222222222
178,15790355,606,Orsha,Male,36,5,2,0,0,0,9523.974,3985.597555555556
179,15762615,597,Grodno,Female,40,8,1,0,1,0,5099.656,2106.0915555555553
180,15625426,754,Orsha,Female,55,3,1,1,0,1,8080.4405,179.57444444444445
181,15716334,850,Grodno,Female,45,2,1,1,1,0,6115.5605000000005,432.94444444444446
182,15789669,510,Minsk,Male,65,2,2,1,1,0,0.0,1068.258
183,15621075,778,Orsha,Female,45,1,2,1,0,0,8107.521000000001,3878.4726666666666
184,15810845,636,Minsk,Male,42,2,2,1,1,0,0.0,1232.684
185,15719377,804,Minsk,Female,50,4,1,1,1,1,0.0,189.93044444444448
186,15654506,514,Minsk,Male,32,8,2,1,0,0,0.0,2130.1595555555555
187,15771977,730,Minsk,Female,39,1,1,1,0,0,4950.5335,4332.1288888888885
188,15708710,525,Grodno,Female,37,0,1,0,1,0,0.0,2922.704888888889
189,15726676,616,Grodno,Male,30,5,2,0,1,0,0.0,4357.966888888889
190,15587421,687,Orsha,Female,34,7,2,1,0,0,5569.409,3301.4391111111113
191,15726931,715,Minsk,Female,41,8,2,0,0,1,2810.7425,2066.280222222222
192,15771086,512,Minsk,Female,36,3,2,1,0,0,4216.3885,392.7857777777778
193,15756850,479,Minsk,Male,40,1,2,0,0,0,0.0,2555.476222222222
194,15702741,601,Minsk,Male,32,8,1,1,0,0,4650.6445,1932.3871111111112
195,15679200,580,Grodno,Male,29,9,2,1,0,0,3085.522,2846.173333333333
196,15594815,807,Minsk,Male,35,3,1,1,1,0,8739.5075,13.341333333333333
197,15635905,616,Grodno,Female,32,6,2,1,1,0,0.0,955.588
198,15777892,721,Orsha,Male,37,3,1,1,1,0,5386.032,3524.247111111111
199,15656176,501,Minsk,Male,57,10,2,1,1,0,0.0,1063.270888888889
200,15811127,521,Minsk,Male,35,6,1,1,0,0,4821.192,233.07644444444446
201,15604482,850,Grodno,Male,30,2,1,1,1,0,7052.0005,132.8488888888889
202,15622911,759,Minsk,Male,42,4,1,0,1,0,5271.009,2697.9791111111113
203,15600974,516,Grodno,Male,50,5,1,0,1,1,0.0,3247.6873333333333
204,15727868,711,Minsk,Female,38,2,2,1,1,1,6451.103,319.4413333333333
205,15627801,512,Grodno,Male,33,3,1,1,0,0,8833.331,2103.794888888889
206,15773039,550,Minsk,Male,37,3,1,1,1,0,0.0,3992.6735555555556
207,15755262,608,Grodno,Female,41,3,1,0,0,1,4488.192,4428.994222222222
208,15679531,618,Minsk,Male,34,5,1,1,1,0,6747.7265,3376.7642222222225
209,15684181,643,Minsk,Male,45,5,1,1,0,1,0.0,3166.9666666666667
210,15612087,671,Minsk,Male,45,2,1,0,1,0,5318.842500000001,3516.9915555555554
211,15752047,689,Orsha,Male,33,2,2,1,0,0,8090.732000000001,3764.042222222222
212,15624592,603,Minsk,Male,31,8,2,1,1,0,0.0,3775.889333333333
213,15573152,620,Minsk,Female,41,9,2,0,0,0,0.0,1974.4993333333334
214,15594917,676,Minsk,Female,34,1,1,1,1,0,3154.7505,903.2402222222222
215,15785542,572,Orsha,Male,26,4,2,0,0,0,5914.3505,1342.828888888889
216,15723488,668,Orsha,Male,47,7,1,0,1,1,5342.7105,3510.200444444444
217,15680920,695,Minsk,Male,46,7,1,1,0,0,2475.6275,2955.7186666666666
218,15786308,730,Grodno,Female,33,9,2,0,0,0,0.0,3923.9248888888887
219,15659366,807,Minsk,Male,43,1,2,1,0,1,5289.966,775.2897777777778
220,15774854,592,Minsk,Male,54,8,1,1,1,1,0.0,638.6157777777778
221,15725311,726,Minsk,Female,31,9,2,1,1,0,5736.1025,2181.746
222,15787155,514,Grodno,Male,30,7,1,0,1,0,0.0,2778.0053333333335
223,15727829,567,Minsk,Male,42,2,2,1,1,0,0.0,3732.991333333333
224,15733247,850,Minsk,Male,33,10,1,1,0,1,0.0,108.03822222222223
225,15568748,671,Orsha,Male,45,6,1,1,1,1,4978.211,2419.3877777777775
226,15699029,670,Minsk,Male,37,4,2,1,0,0,8527.8955,4405.619555555556
227,15774393,694,Minsk,Female,30,9,2,1,1,0,0.0,599.118
228,15676895,547,Orsha,Female,39,6,3,1,1,1,3729.8075,1905.4782222222223
229,15637753,751,Orsha,Male,50,2,1,1,0,1,4844.4195,1715.6944444444443
230,15605461,594,Orsha,Female,29,3,1,1,0,0,6541.511,1356.634
231,15808473,673,Minsk,Male,72,1,2,0,1,0,0.0,2488.470888888889
232,15627000,610,Minsk,Male,40,0,2,1,0,0,0.0,1382.9466666666667
233,15787174,512,Minsk,Female,37,1,2,0,1,0,0.0,3469.000666666667
234,15723886,767,Orsha,Male,20,3,2,0,1,0,5985.7125,3336.3417777777777
235,15704769,585,Minsk,Female,67,5,2,0,1,0,5698.9485,2069.9135555555554
236,15772896,763,Orsha,Male,42,6,1,1,0,1,5008.0375,743.6208888888889
237,15711540,712,Minsk,Female,29,2,1,1,1,0,0.0,3208.3333333333335
238,15764866,539,Orsha,Female,43,3,3,1,0,1,5811.025,1240.088
239,15794056,668,Minsk,Female,46,2,3,1,0,1,0.0,1978.8546666666668
240,15795149,703,Minsk,Male,28,2,2,0,1,0,4058.6915,3618.0480000000002
241,15812009,662,Grodno,Male,38,4,2,1,0,0,0.0,3027.992222222222
242,15651001,725,Orsha,Female,39,5,1,1,0,0,5840.1900000000005,2756.732666666667
243,15813844,703,Minsk,Male,37,8,2,0,1,0,5298.084,1647.9733333333334
244,15596175,659,Orsha,Male,67,6,1,1,1,1,5870.58,1001.5797777777777
245,15576269,523,Grodno,Male,34,7,2,1,0,0,0.0,1378.4457777777777
246,15797219,635,Minsk,Female,40,10,1,1,0,1,6174.879,2932.2940000000003
247,15685500,772,Orsha,Male,26,7,2,1,0,0,7620.025500000001,1764.7555555555555
248,15599792,545,Minsk,Female,26,1,2,1,1,0,0.0,4436.412444444444
249,15657566,634,Orsha,Male,24,8,1,1,1,0,5154.8925,3501.717555555556
250,15772423,739,Orsha,Male,54,8,1,1,0,1,6320.907,2987.1277777777777
251,15628112,771,Orsha,Female,36,5,1,0,0,0,3892.345,2217.910888888889
252,15753754,587,Grodno,Female,34,1,2,1,1,0,0.0,2176.2817777777777
253,15793726,681,Minsk,Female,79,0,2,0,1,0,0.0,3799.3108888888887
254,15694717,544,Orsha,Male,37,2,1,1,1,0,3986.5955000000004,1279.0877777777778
255,15665834,696,Grodno,Male,28,8,1,0,0,0,0.0,3926.966
256,15765297,766,Grodno,Male,41,0,2,0,1,0,0.0,761.8495555555556
257,15636684,727,Minsk,Male,34,10,2,1,1,0,0.0,4414.163111111111
258,15592979,671,Orsha,Female,34,6,2,0,0,0,1863.3335,3487.047111111111
259,15750803,693,Minsk,Female,30,6,1,1,1,0,6399.6125,1121.271111111111
260,15607178,850,Orsha,Male,38,3,1,1,1,0,2745.0505000000003,3112.79
261,15713853,732,Orsha,Male,42,9,2,1,1,0,5437.404,1451.6246666666666
262,15673481,726,Grodno,Female,48,6,1,1,0,0,4995.3095,1429.4053333333334
263,15686776,557,Minsk,Female,32,6,2,1,0,0,9234.3205,332.36533333333335
264,15673693,682,Minsk,Female,26,0,1,0,1,0,5532.701,2486.204666666667
265,15700696,738,Grodno,Male,31,9,1,1,1,0,3950.9900000000002,413.4717777777778
266,15813163,531,Grodno,Female,36,9,1,1,0,0,4962.0255,2736.3779999999997
267,15653857,498,Minsk,Male,34,2,2,1,1,0,0.0,3300.6275555555553
268,15777076,651,Minsk,Male,36,7,2,1,0,0,0.0,308.85133333333334
269,15717398,549,Grodno,Female,39,7,1,0,0,1,0.0,1805.7611111111112
270,15799217,791,Orsha,Female,35,7,1,1,0,0,2621.81,3578.927777777778
271,15787071,650,Grodno,Male,41,9,2,0,1,0,0.0,4257.770444444444
272,15619955,733,Orsha,Male,34,3,3,1,0,1,5016.898,1079.093111111111
273,15796505,811,Orsha,Female,34,1,2,1,1,0,7464.8595000000005,4140.883111111111
274,15725166,707,Minsk,Male,30,8,2,1,0,0,0.0,736.8748888888889
275,15800116,712,Orsha,Male,28,4,1,0,1,0,7280.272,2086.3006666666665
276,15758685,706,Grodno,Female,37,7,2,1,1,0,0.0,2464.428888888889
277,15694456,756,Minsk,Male,62,3,1,1,1,1,0.0,248.86755555555558
278,15767339,777,Minsk,Female,53,10,2,1,0,0,0.0,4222.066
279,15683562,646,Minsk,Male,35,6,1,0,1,0,4201.343,3650.1264444444446
280,15782210,714,Minsk,Male,46,1,1,1,0,1,0.0,3381.5064444444447
281,15668893,782,Minsk,Male,39,8,2,1,1,0,0.0,754.4371111111111
282,15669169,775,Grodno,Male,29,10,2,1,1,0,0.0,1514.3095555555553
283,15643024,479,Orsha,Male,35,4,1,1,1,1,6935.946000000001,1050.0397777777778
284,15699389,807,Minsk,Male,42,7,1,1,1,0,5913.735500000001,575.2382222222222
285,15708608,799,Minsk,Female,22,8,2,0,1,0,8709.299,4280.752222222222
286,15626144,675,Minsk,Male,40,7,2,1,0,0,5660.443,768.3857777777778
287,15573112,602,Grodno,Male,29,5,1,1,0,0,5195.364,3582.885333333333
288,15790678,475,Minsk,Female,32,8,1,1,0,0,5951.164,2240.362
289,15727556,744,Grodno,Female,26,5,1,1,1,0,8314.8945,4037.6542222222224
290,15697307,588,Grodno,Male,34,10,2,1,0,0,0.0,1757.3091111111112
291,15652266,703,Orsha,Male,42,9,1,0,1,0,3161.35,3051.4737777777777
292,15607098,747,Grodno,Female,41,5,2,1,0,0,4726.0585,4331.708
293,15655774,583,Minsk,Male,27,7,2,1,0,0,0.0,1139.6775555555555
294,15590241,750,Grodno,Female,34,9,1,0,0,1,5641.112999999999,3342.2562222222223
295,15785819,681,Minsk,Male,38,3,2,1,1,0,0.0,2499.8213333333333
296,15723654,773,Minsk,Male,25,2,1,1,0,0,6795.166499999999,1636.8084444444446
297,15774510,714,Minsk,Female,31,4,1,1,1,0,6258.463,2369.7086666666664
298,15684173,687,Grodno,Female,44,7,3,1,0,1,0.0,3463.4115555555554
299,15650068,511,Minsk,Male,58,0,1,1,1,0,7455.8655,3613.3224444444445
300,15811490,627,Minsk,Male,33,5,2,1,1,0,0.0,2305.284888888889
301,15803976,694,Minsk,Female,31,10,2,1,0,0,0.0,3577.5615555555555
302,15682541,616,Grodno,Female,36,6,1,0,0,0,6615.585499999999,343.6186666666667
303,15695699,687,Minsk,Male,35,8,2,1,0,0,0.0,229.64555555555555
304,15624188,712,Minsk,Female,33,6,2,1,1,0,0.0,4237.470222222222
305,15812191,553,Minsk,Male,33,4,1,0,0,0,5904.1445,2098.6766666666667
306,15636673,667,Minsk,Male,31,1,1,1,1,0,5963.3345,627.9473333333334
307,15594898,731,Minsk,Male,43,2,1,1,1,1,0.0,3778.554444444445
308,15660211,629,Orsha,Male,35,7,2,1,0,0,7842.364500000001,707.2064444444445
309,15773972,614,Minsk,Male,50,4,1,1,0,1,6855.2235,2825.922
310,15746726,438,Orsha,Male,31,8,1,1,0,0,3919.9345000000003,998.6002222222222
311,15712287,652,Minsk,Female,80,4,2,1,1,0,0.0,4191.1793333333335
312,15702919,729,Orsha,Male,30,6,1,1,0,0,3183.471,3224.697111111111
313,15674398,642,Minsk,Male,38,3,2,0,0,0,0.0,3810.307333333333
314,15797960,806,Orsha,Female,59,0,1,1,0,0,6764.816499999999,4062.722222222222
315,15631868,744,Grodno,Male,36,2,1,1,1,0,7690.222,1938.074
316,15581539,474,Grodno,Male,37,3,2,0,0,0,0.0,1270.5626666666667
317,15662736,559,Minsk,Male,49,2,1,1,0,1,7353.489,2678.685111111111
318,15666252,706,Grodno,Male,42,9,2,1,1,0,0.0,638.0964444444445
319,15677512,628,Grodno,Female,22,3,1,1,0,0,0.0,1898.3617777777777
320,15626114,429,Minsk,Male,24,4,1,1,0,0,4787.0875,1026.0166666666667
321,15810834,525,Grodno,Female,57,2,1,1,1,0,7298.2665,1432.1857777777777
322,15678910,680,Minsk,Female,30,8,1,1,1,0,7072.0875,361.7548888888889
323,15694408,749,Minsk,Male,40,1,1,1,0,1,6964.5205000000005,4063.453777777778
324,15585215,763,Minsk,Female,31,4,2,0,0,0,0.0,1120.1048888888888
325,15682757,734,Minsk,Male,30,3,2,1,0,0,0.0,2392.0055555555555
326,15736601,716,Minsk,Male,35,4,1,1,0,0,7221.443499999999,2980.7255555555553
327,15601848,594,Minsk,Male,35,2,2,1,0,0,0.0,2299.570888888889
328,15736008,644,Minsk,Female,46,9,1,1,0,1,4772.0635,2416.912222222222
329,15669064,671,Orsha,Male,35,1,1,1,1,0,7242.437,3978.051111111111
330,15624528,664,Orsha,Male,26,7,2,1,1,0,5812.207,2114.3364444444446
331,15598493,656,Minsk,Male,50,7,2,0,1,0,0.0,1603.1875555555557
332,15601274,667,Grodno,Female,40,1,1,1,0,0,7325.1035,425.842
333,15702669,663,Orsha,Male,44,2,2,0,1,0,5851.43,3215.1151111111108
